Allerton Total,3679
Arden Heights Total,269
Arrochar Total,2415
Arverne Total,13227
Astoria Total,105469
Bath Beach Total,1390
Battery Park City Total,25729
Bay Ridge Total,20365
Bay Terrace Total,852
Bay Terrace, Staten Island Total,205
Baychester Total,528
Bayside Total,6160
Bayswater Total,1487
Bedford-Stuyvesant Total,399917
Belle Harbor Total,1372
Bellerose Total,1391
Belmont Total,1851
Bensonhurst Total,5684
Bergen Beach Total,1067
Boerum Hill Total,31176
Borough Park Total,8577
Breezy Point Total,640
Briarwood Total,5929
Brighton Beach Total,9895
Bronxdale Total,1085
Brooklyn Heights Total,32196
Brownsville Total,4664
Bull's Head Total,284
Bushwick Total,209033
Cambria Heights Total,2125
Canarsie Total,15342
Carroll Gardens Total,40988
Castle Hill Total,567
Castleton Corners Total,559
Chelsea Total,277959
Chinatown Total,59431
City Island Total,3114
Civic Center Total,9981
Claremont Village Total,2449
Clason Point Total,2368
Clifton Total,1274
Clinton Hill Total,104043
Cobble Hill Total,20981
College Point Total,1672
Columbia St Total,6844
Concord Total,1513
Concourse Total,4309
Concourse Village Total,2361
Coney Island Total,2103
Co-op City Total,155
Corona Total,3787
Crown Heights Total,175919
Cypress Hills Total,17402
Ditmars Steinway Total,29364
Dongan Hills Total,556
Douglaston Total,662
Downtown Brooklyn Total,12479
DUMBO Total,7067
Dyker Heights Total,1121
East Elmhurst Total,15019
East Flatbush Total,52111
East Harlem Total,148783
East Morrisania Total,850
East New York Total,18623
East Village Total,344812
Eastchester Total,1842
Edenwald Total,1066
Edgemere Total,1042
Elmhurst Total,19069
Eltingville Total,425
Emerson Hill Total,341
Far Rockaway Total,4810
Fieldston Total,901
Financial District Total,167765
Flatbush Total,57264
Flatiron District Total,27354
Flatlands Total,10494
Flushing Total,39837
Fordham Total,4375
Forest Hills Total,17514
Fort Greene Total,74022
Fort Hamilton Total,5160
Fort Wadsworth Total,800
Fresh Meadows Total,3184
Glendale Total,4903
Gowanus Total,39224
Gramercy Total,75291
Graniteville Total,206
Grant City Total,346
Gravesend Total,5373
Great Kills Total,1006
Greenpoint Total,161477
Greenwich Village Total,103255
Grymes Hill Total,1114
Harlem Total,316233
Hell's Kitchen Total,400987
Highbridge Total,1920
Hollis Total,1241
Holliswood Total,543
Howard Beach Total,2308
Howland Hook Total,200
Huguenot Total,355
Hunts Point Total,909
Inwood Total,22402
Jackson Heights Total,15047
Jamaica Total,22123
Jamaica Estates Total,3476
Jamaica Hills Total,1057
Kensington Total,16255
Kew Gardens Total,2828
Kew Gardens Hills Total,2920
Kingsbridge Total,5455
Kips Bay Total,95132
Laurelton Total,1716
Lighthouse Hill Total,315
Little Italy Total,26870
Little Neck Total,376
Long Island City Total,68449
Longwood Total,5699
Lower East Side Total,169731
Manhattan Beach Total,828
Marble Hill Total,1070
Mariners Harbor Total,757
Maspeth Total,9201
Melrose Total,833
Middle Village Total,3397
Midland Beach Total,551
Midtown Total,436801
Midwood Total,8757
Mill Basin Total,719
Morningside Heights Total,39715
Morris Heights Total,1308
Morris Park Total,1040
Morrisania Total,1502
Mott Haven Total,5335
Mount Eden Total,351
Mount Hope Total,1550
Murray Hill Total,107165
Navy Yard Total,2123
Neponsit Total,824
New Brighton Total,509
New Dorp Total,57
New Dorp Beach Total,287
New Springville Total,608
NoHo Total,23066
Nolita Total,58225
North Riverdale Total,799
Norwood Total,2342
Oakwood Total,406
Olinville Total,256
Ozone Park Total,5287
Park Slope Total,89214
Parkchester Total,2694
Pelham Bay Total,1785
Pelham Gardens Total,2621
Port Morris Total,3675
Port Richmond Total,811
Prince's Bay Total,1638
Prospect Heights Total,61894
Prospect-Lefferts Gardens Total,59065
Queens Village Total,5036
Randall Manor Total,6384
Red Hook Total,11333
Rego Park Total,8891
Richmond Hill Total,8189
Richmondtown Total,78
Ridgewood Total,32649
Riverdale Total,4863
Rockaway Beach Total,7402
Roosevelt Island Total,8721
Rosebank Total,783
Rosedale Total,4525
Rossville Total,75
Schuylerville Total,900
Sea Gate Total,3415
Sheepshead Bay Total,17347
Shore Acres Total,1069
Silver Lake Total,140
SoHo Total,102783
Soundview Total,802
South Beach Total,714
South Ozone Park Total,3296
South Slope Total,41670
Springfield Gardens Total,8010
Spuyten Duyvil Total,619
St. Albans Total,7663
St. George Total,5671
Stapleton Total,2672
Stuyvesant Town Total,6257
Sunnyside Total,30806
Sunset Park Total,44086
Theater District Total,71428
Throgs Neck Total,2185
Todt Hill Total,676
Tompkinsville Total,3200
Tottenville Total,1014
Tremont Total,567
Tribeca Total,86843
Two Bridges Total,9149
Unionport Total,960
University Heights Total,1461
Upper East Side Total,339729
Upper West Side Total,415720
Van Nest Total,1252
Vinegar Hill Total,6364
Wakefield Total,4279
Washington Heights Total,80560
West Brighton Total,1450
West Farms Total,244
West Village Total,205580
Westchester Square Total,1222
Westerleigh Total,143
Whitestone Total,1183
Williamsbridge Total,3870
Williamsburg Total,563707
Willowbrook Total,249
Windsor Terrace Total,21822
Woodhaven Total,5911
Woodlawn Total,661
Woodrow Total,700
Woodside Total,19998
Grand Total,7467278
